province,year,age_group,myopia_rate_urban,myopia_rate_rural
Gansu,2012,1,0.1534879426575258,0.0898
Gansu,2013,1,0.2880752398618322,0.2207153095507869
Gansu,2014,1,0.4346477804131425,0.3703715092112837
Gansu,2015,1,0.2793262056136728,0.2032554071326587
Gansu,2016,1,0.2978485029438272,0.221143077010664
Gansu,2017,1,0.281396978552579,0.2142645143115168
Gansu,2018,1,0.0990174559243761,0.0228053176976131
Gansu,2019,1,0.3489973748021846,0.2698012698191956
Gansu,2020,1,0.1311999999999999,0.1272
Gansu,2021,1,0.2854772169506426,0.2325113629138094
Gansu,2022,1,0.2777971372927315,0.2325800446525414
Gansu,1998,2,0.2909223880057454,0.2327617475388829
Gansu,1999,2,0.2993207073278584,0.2174346325949289
Gansu,2000,2,0.3207223880057455,0.262561747538883
Gansu,2001,2,0.2981114131900044,0.2061863456311974
Gansu,2002,2,0.4079,0.1473
Gansu,2003,2,0.3665210915098155,0.2614973018989288
Gansu,2004,2,0.3802560367399987,0.1619
Gansu,2005,2,0.554434353724903,0.4965130686919355
Gansu,2006,2,0.2341,0.0802
Gansu,2007,2,0.4630905930026546,0.3667981197891674
Gansu,2008,2,0.4833722110530398,0.3973490876949075
Gansu,2009,2,0.4735899277200525,0.347904540387166
Gansu,2010,2,0.6259463194440605,0.568264389844988
Gansu,2011,2,0.5374183457012129,0.4179571360348369
Gansu,2012,2,0.4098111057317234,0.2188499999999999
Gansu,2013,2,0.5749803274733466,0.4631195006565408
Gansu,2014,2,0.7201258920193864,0.6626354467674295
Gansu,2015,2,0.5472071254529366,0.4422656704200916
Gansu,2016,2,0.5641728537710528,0.4932304646936308
Gansu,2017,2,0.5428286279957847,0.4894332225485328
Gansu,2018,2,0.3150054645947124,0.2577065036898716
Gansu,2019,2,0.6192878577385439,0.5620367679204821
Gansu,2020,2,0.4418999999999999,0.3383
Gansu,2021,2,0.5529781148784264,0.5113577381359867
Gansu,2022,2,0.5602689983063311,0.5238748162846918
Gansu,1998,3,0.5585877511199718,0.4779804534805282
Gansu,1999,3,0.5669507258632553,0.4567793375064104
Gansu,2000,3,0.5946377511199719,0.5140304534805282
Gansu,2001,3,0.5662800901251349,0.4486321543199646
Gansu,2002,3,0.6598999999999999,0.3313
Gansu,2003,3,0.5958701218768474,0.4633544573850526
Gansu,2004,3,0.6028029011490466,0.4725438424138019
Gansu,2005,3,0.7130485780976803,0.6328086624053344
Gansu,2006,3,0.4402,0.1509
Gansu,2007,3,0.639933780995835,0.6973
Gansu,2008,3,0.6533157350553196,0.5548194942436245
Gansu,2009,3,0.6532786157868473,0.5420248902150853
Gansu,2010,3,0.7025594050753889,0.6226868713301404
Gansu,2011,3,0.7145815704709305,0.634782513115102
Gansu,2012,3,0.5724037358664723,0.4926781549000636
Gansu,2013,3,0.7169935144016208,0.626582659985178
Gansu,2014,3,0.8445480666575557,0.7649694384699859
Gansu,2015,3,0.7142599006097885,0.622783729267448
Gansu,2016,3,0.7014617552595231,0.619918930688187
Gansu,2017,3,0.6773358078939619,0.5955510655908601
Gansu,2018,3,0.6267367282397225,0.5474520056098306
Gansu,2019,3,0.6000588936352642,0.5208476473947918
Gansu,2020,3,0.6809999999999999,0.6598999999999999
Gansu,2021,3,0.6608656891914272,0.5855530181634594
Gansu,2022,3,0.6554170095086621,0.5814283556813358
Gansu,1998,4,0.7364608017556357,0.581855429317788
Gansu,1999,4,0.735862538597474,0.5811415617740169
Gansu,2000,4,0.8118608017556356,0.6572554293177879
Gansu,2001,4,0.7357533529439125,0.580553878757454
Gansu,2002,4,0.7580722539114564,0.6056539958607119
Gansu,2003,4,0.7543251890571119,0.5848941496636207
Gansu,2004,4,0.7569049746281047,0.5808228249899552
Gansu,2005,4,0.8792400117588778,0.7478720448325371
Gansu,2006,4,0.6265999999999999,0.2148
Gansu,2007,4,0.7838644607614301,0.6091283029847144
Gansu,2008,4,0.7899211020665703,0.6158827167726704
Gansu,2009,4,0.7899516517980146,0.6018676922995303
Gansu,2010,4,0.8195192217621197,0.7113886603472854
Gansu,2011,4,0.8318705294493345,0.6857875596123094
Gansu,2012,4,0.8408357460880318,0.7031804162080101
Gansu,2013,4,0.8513016810513159,0.7301880360200667
Gansu,2014,4,0.9418325897647136,0.8522919527590851
Gansu,2015,4,0.8571908745038331,0.7485658958829912
Gansu,2016,4,0.8522597997046628,0.7654567130292774
Gansu,2017,4,0.8364005060750801,0.7625233618598266
Gansu,2018,4,0.714545957767307,0.643595245170884
Gansu,2019,4,0.820844051283868,0.862358568273834
Gansu,2020,4,0.7961,0.7715000000000001
Gansu,2021,4,0.8114821298908592,0.7655302925150228
Gansu,2022,4,0.8058207505967223,0.7675853197485661
Guangdong,1998,1,0.1793,0.0758
Guangdong,1999,1,0.2181,0.0746
Guangdong,2000,1,0.1108789161238249,0.0883781795091306
Guangdong,2001,1,0.1397028820710371,0.0648609245444221
Guangdong,2002,1,0.1644,0.0578
Guangdong,2003,1,0.1520727691006237,0.0843955284502585
Guangdong,2004,1,0.1639088520959554,0.0565
Guangdong,2005,1,0.276078510512867,0.2386579401170425
Guangdong,2006,1,0.1007,0.0345
Guangdong,2007,1,0.197081788453752,0.1398275193421232
Guangdong,2008,1,0.1098,0.159061698518668
Guangdong,2009,1,0.2012911320567369,0.1460307850488592
Guangdong,2010,1,0.424678104901909,0.3723377007249542
